"Tanggal","Harga","Bulan-Tahun","Tahun","Bulan"
"1/1/2014","26,297","2014-01","2014","01"
"1/2/2014","27,040","2014-01","2014","01"
"1/3/2014","26,958","2014-01","2014","01"
"1/4/2014","27,199","2014-01","2014","01"
"1/5/2014","27,204","2014-01","2014","01"
"1/6/2014","27,384","2014-01","2014","01"
"1/7/2014","27,287","2014-01","2014","01"
"1/8/2014","27,249","2014-01","2014","01"
"1/9/2014","27,686","2014-01","2014","01"
"1/10/2014","27,195","2014-01","2014","01"
"1/11/2014","27,207","2014-01","2014","01"
"1/12/2014","26,973","2014-01","2014","01"
"1/13/2014","25,096","2014-01","2014","01"
"1/14/2014","25,175","2014-01","2014","01"
"1/15/2014","25,605","2014-01","2014","01"
"1/16/2014","25,378","2014-01","2014","01"
"1/17/2014","25,410","2014-01","2014","01"
"1/18/2014","24,489","2014-01","2014","01"
"1/19/2014","24,187","2014-01","2014","01"
"1/20/2014","22,032","2014-01","2014","01"
"1/21/2014","22,010","2014-01","2014","01"
"1/22/2014","22,350","2014-01","2014","01"
"1/23/2014","23,744","2014-01","2014","01"
"1/24/2014","24,360","2014-01","2014","01"
"1/25/2014","24,723","2014-01","2014","01"
"1/26/2014","25,879","2014-01","2014","01"
"1/27/2014","29,732","2014-01","2014","01"
"1/28/2014","32,610","2014-01","2014","01"
"1/29/2014","33,792","2014-01","2014","01"
"1/30/2014","34,233","2014-01","2014","01"
"1/31/2014","34,769","2014-01","2014","01"
"2/1/2014","34,531","2014-02","2014","02"
"2/2/2014","34,755","2014-02","2014","02"
"2/3/2014","35,759","2014-02","2014","02"
"2/4/2014","40,820","2014-02","2014","02"
"2/5/2014","36,315","2014-02","2014","02"
"2/6/2014","36,762","2014-02","2014","02"
"2/7/2014","36,452","2014-02","2014","02"
"2/8/2014","36,549","2014-02","2014","02"
"2/9/2014","36,344","2014-02","2014","02"
"2/10/2014","35,312","2014-02","2014","02"
"2/11/2014","35,283","2014-02","2014","02"
"2/12/2014","34,749","2014-02","2014","02"
"2/13/2014","35,908","2014-02","2014","02"
"2/14/2014","35,789","2014-02","2014","02"
"2/15/2014","35,712","2014-02","2014","02"
"2/16/2014","36,094","2014-02","2014","02"
"2/17/2014","37,420","2014-02","2014","02"
"2/18/2014","37,100","2014-02","2014","02"
"2/19/2014","39,249","2014-02","2014","02"
"2/20/2014","41,482","2014-02","2014","02"
"2/21/2014","47,771","2014-02","2014","02"
"2/22/2014","50,011","2014-02","2014","02"
"2/23/2014","50,880","2014-02","2014","02"
"2/24/2014","53,403","2014-02","2014","02"
"2/25/2014","56,426","2014-02","2014","02"
"2/26/2014","56,291","2014-02","2014","02"
"2/27/2014","56,341","2014-02","2014","02"
"2/28/2014","54,037","2014-02","2014","02"
"3/1/2014","53,308","2014-03","2014","03"
"3/2/2014","53,058","2014-03","2014","03"
"3/3/2014","50,901","2014-03","2014","03"
"3/4/2014","50,598","2014-03","2014","03"
"3/5/2014","50,885","2014-03","2014","03"
"3/6/2014","50,187","2014-03","2014","03"
"3/7/2014","49,286","2014-03","2014","03"
"3/8/2014","48,610","2014-03","2014","03"
"3/9/2014","48,281","2014-03","2014","03"
"3/10/2014","47,662","2014-03","2014","03"
"3/11/2014","47,745","2014-03","2014","03"
"3/12/2014","47,741","2014-03","2014","03"
"3/13/2014","47,081","2014-03","2014","03"
"3/14/2014","47,681","2014-03","2014","03"
"3/15/2014","50,155","2014-03","2014","03"
"3/16/2014","52,522","2014-03","2014","03"
"3/17/2014","59,020","2014-03","2014","03"
"3/18/2014","61,167","2014-03","2014","03"
"3/19/2014","60,666","2014-03","2014","03"
"3/20/2014","62,467","2014-03","2014","03"
"3/21/2014","65,047","2014-03","2014","03"
"3/22/2014","66,183","2014-03","2014","03"
"3/23/2014","66,850","2014-03","2014","03"
"3/24/2014","68,664","2014-03","2014","03"
"3/25/2014","68,789","2014-03","2014","03"
"3/26/2014","68,537","2014-03","2014","03"
"3/27/2014","68,701","2014-03","2014","03"
"3/28/2014","69,469","2014-03","2014","03"
"3/29/2014","69,516","2014-03","2014","03"
"3/30/2014","68,904","2014-03","2014","03"
"3/31/2014","68,462","2014-03","2014","03"
"4/1/2014","65,497","2014-04","2014","04"
"4/2/2014","65,779","2014-04","2014","04"
"4/3/2014","65,824","2014-04","2014","04"
"4/4/2014","65,400","2014-04","2014","04"
"4/5/2014","65,074","2014-04","2014","04"
