Tanggal,Maks,BF,HF,SF,BA,HA,SA,Curah hujan
Jan - 2014,"34,769",0,0,0,0,0,0,273.5
Feb - 2014,"56,426",0,0,0,0,0,0,316.2
Mar - 2014,"69,516",0,0,0,0,0,0,197.7
Apr - 2014,"65,824",0,0,0,0,0,0,245.9
May - 2014,"19,144",0,0,0,0,0,0,51
Jun - 2014,"11,657",1,0,0,0,0,0,47.5
Jul - 2014,"15,569",0,1,0,0,0,0,3
Aug - 2014,"16,423",0,0,1,0,0,0,6
Sep - 2014,"13,930",0,0,0,1,0,0,0
Oct - 2014,"20,051",0,0,0,0,1,0,0.4
Nov - 2014,"57,642",0,0,0,0,0,1,68.6
Dec - 2014,"83,879",0,0,0,0,0,0,283.9
Jan - 2015,"80,573",0,0,0,0,0,0,494.1
Feb - 2015,"29,813",0,0,0,0,0,0,300.4
Mar - 2015,"29,799",0,0,0,0,0,0,246.1
Apr - 2015,"22,778",0,0,0,0,0,0,128.2
May - 2015,"20,077",0,0,0,0,0,0,87.8
Jun - 2015,"16,859",1,0,0,0,0,0,0.7
Jul - 2015,"46,742",0,1,0,0,0,0,0
Aug - 2015,"60,909",0,0,1,1,0,0,0
Sep - 2015,"61,012",0,0,0,0,1,0,0
Oct - 2015,"22,045",0,0,0,0,0,1,0
Nov - 2015,"17,510",0,0,0,0,0,0,130.2
Dec - 2015,"33,009",0,0,0,0,0,0,183
Jan - 2016,"33,989",0,0,0,0,0,0,284.1
Feb - 2016,"21,954",0,0,0,0,0,0,410.5
Mar - 2016,"45,491",0,0,0,0,0,0,144.6
Apr - 2016,"31,631",0,0,0,0,0,0,129.7
May - 2016,"19,528",0,0,0,0,0,0,351.5
Jun - 2016,"19,949",1,0,0,0,0,0,126.8
Jul - 2016,"40,579",0,1,0,0,0,0,90.1
Aug - 2016,"39,598",0,0,1,1,0,0,36.6
Sep - 2016,"34,949",0,0,0,0,1,0,102.2
Oct - 2016,"35,724",0,0,0,0,0,1,161.5
Nov - 2016,"53,316",0,0,0,0,0,0,117.9
Dec - 2016,"67,921",0,0,0,0,0,0,362.1
Jan - 2017,"101,802",0,0,0,0,0,0,463.7
Feb - 2017,"129,068",0,0,0,0,0,0,249.3
Mar - 2017,"129,062",0,0,0,0,0,0,244
Apr - 2017,"63,407",0,0,0,0,0,0,102.5
May - 2017,"57,669",1,0,0,0,0,0,157.9
Jun - 2017,"38,181",0,1,0,0,0,0,91.1
Jul - 2017,"40,199",0,0,1,0,0,0,22.2
