"Date","Tanggal","Maks_2","Curahhujan","Maks_ch","Maks","HF","HA"
"01-2014","Jan - 2014","34769","273.5","34769","34769","0","0"
"02-2014","Feb - 2014","56426","316.2","83879","83879","0","0"
"03-2014","Mar - 2014","69516","197.7","69516","69516","0","0"
"04-2014","Apr - 2014","65824","245.9","65824","65824","0","0"
"05-2014","May - 2014","19144","51","19144","19144","0","0"
"06-2014","Jun - 2014","11657","47.5","13930","13930","0","0"
"07-2014","Jul - 2014","15569","3","15569","59516","1","0"
"08-2014","Aug - 2014","16423","6","16423","16423","0","0"
"09-2014","Sep - 2014","13930","0","11657","11657","0","0"
"10-2014","Oct - 2014","20051","0.4","20051","60516","0","1"
"11-2014","Nov - 2014","57642","68.6","57642","57642","0","0"
"12-2014","Dec - 2014","83879","283.9","56426","56426","0","0"
"01-2015","Jan - 2015","80573","494.1","80573","80573","0","0"
"02-2015","Feb - 2015","29813","300.4","29813","29813","0","0"
"03-2015","Mar - 2015","29799","246.1","29799","29799","0","0"
"04-2015","Apr - 2015","22778","128.2","22778","22778","0","0"
"05-2015","May - 2015","20077","87.8","20077","20077","0","0"
"06-2015","Jun - 2015","16859","0.7","16859","16859","0","0"
"07-2015","Jul - 2015","46742","0","46742","66742","1","0"
"08-2015","Aug - 2015","60909","0","17510","17510","0","0"
"09-2015","Sep - 2015","61012","0","61012","61012","0","1"
"10-2015","Oct - 2015","22045","0","22045","22045","0","0"
"11-2015","Nov - 2015","17510","130.2","60909","60909","0","0"
"12-2015","Dec - 2015","33009","183","33009","33009","0","0"
"01-2016","Jan - 2016","33989","284.1","33989","33989","0","0"
"02-2016","Feb - 2016","21954","410.5","67921","67921","0","0"
"03-2016","Mar - 2016","45491","144.6","45491","45491","0","0"
"04-2016","Apr - 2016","31631","129.7","31631","31631","0","0"
"05-2016","May - 2016","19528","351.5","39598","39598","0","0"
"06-2016","Jun - 2016","19949","126.8","19949","19949","0","0"
"07-2016","Jul - 2016","40579","90.1","40579","57316","1","0"
"08-2016","Aug - 2016","39598","36.6","19528","19528","0","0"
"09-2016","Sep - 2016","34949","102.2","34949","54987","0","1"
"10-2016","Oct - 2016","35724","161.5","35724","35724","0","0"
"11-2016","Nov - 2016","53316","117.9","53316","53316","0","0"
"12-2016","Dec - 2016","67921","362.1","21954","21954","0","0"
"01-2017","Jan - 2017","101802","463.7","101802","101802","0","0"
"02-2017","Feb - 2017","129068","249.3","129068","129068","0","0"
"03-2017","Mar - 2017","129062","244","129062","129062","0","0"
"04-2017","Apr - 2017","63407","102.5","63407","63407","0","0"
"05-2017","May - 2017","57669","157.9","57669","57669","0","0"
"06-2017","Jun - 2017","38181","91.1","38181","76362","1","0"
"07-2017","Jul - 2017","40199","22.2","40199","40199","0","0"
"08-2017","Aug - 2017","33849","0","33849","33849","0","0"
"09-2017","Sep - 2017","16424","11.3","16424","56424","0","1"
"10-2017","Oct - 2017","15273","26.6","15273","15273","0","0"
"11-2017","Nov - 2017","18293","321.6","18293","18293","0","0"
"12-2017","Dec - 2017","39752","291.1","39752","39752","0","0"
"01-2018","Jan - 2018","40098","243.2","40098","40098","0","0"
"02-2018","Feb - 2018","47394","245.8","47394","47394","0","0"
"03-2018","Mar - 2018","60096","279.6","60096","60096","0","0"
"04-2018","Apr - 2018","35181","62.8","35181","35181","0","0"
